"Time / s","IL_2:Measured current"
0,0
9.9999999999997158e-07,-0.013543790942841548
9.9999999999999995e-07,-0.013543790942842316
1.9999999999999432e-06,-0.053994796195476293
1.9999999999999999e-06,-0.053994796195479346
2.9999999999999149e-06,-0.12106390209728468
3.0000000000000001e-06,-0.12106390209729152
3.9999999999998863e-06,-0.21443767197974956
3.9999999999999998e-06,-0.21443767197976163
4.9999999999998573e-06,-0.33377887586706068
4.9999999999999996e-06,-0.33377887586707949
5.9999999999998299e-06,-0.47872708374891326
6.0000000000000002e-06,-0.47872708374894013
6.9999999999998008e-06,-0.64889927817422977
6.9999999999999999e-06,-0.64889927817426607
7.9999999999997726e-06,-0.84389044296096871
7.9999999999999996e-06,-0.84389044296101579
8.9999999999997444e-06,-1.0636806469226852
9.0000000000000002e-06,-1.0636806469227447
9.9999999999997145e-06,-1.3102888972066788
9.9999999999999991e-06,-1.3102888972067532
1.0999999999999686e-05,-1.5873058997163212
1.1e-05,-1.5873058997164131
1.199999999999966e-05,-1.8995804056591852
1.2e-05,-1.8995804056592982
1.299999999999963e-05,-2.2528230789435475
1.2999999999999999e-05,-2.2528230789436861
1.3999999999999602e-05,-2.6520483288756682
1.4e-05,-2.652048328875837
1.4999999999999572e-05,-3.1019903456400852
1.4999999999999999e-05,-3.1019903456402886
1.5999999999999545e-05,-3.6073748024729779
1.5999999999999999e-05,-3.6073748024732208
1.6999999999999515e-05,-4.172000171500799
1.7e-05,-4.1720001715010868
1.7999999999999489e-05,-4.795017566998717
1.8e-05,-4.79501756699905
1.8999999999999459e-05,-5.4719775402861499
1.8999999999999998e-05,-5.4719775402865283
1.9999999999999429e-05,-6.1955314523172014
1.9999999999999998e-05,-6.195531452317625
2.0999999999999403e-05,-6.9563530897805741
2.0999999999999999e-05,-6.9563530897810368
2.1999999999999373e-05,-7.7467792672604299
2.1999999999999999e-05,-7.7467792672609335
2.2999999999999346e-05,-8.5598319762623571
2.3e-05,-8.5598319762628954
2.399999999999932e-05,-9.3885776854732157
2.4000000000000001e-05,-9.3885776854737841
2.4999999999999286e-05,-10.226134227537919
2.4999999999999998e-05,-10.226134227538516
2.599999999999926e-05,-11.065677826507006
2.5999999999999998e-05,-11.065677826507626
2.6999999999999233e-05,-11.900449998879417
2.6999999999999999e-05,-11.900449998880053
2.7999999999999203e-05,-12.723764067716886
2.8e-05,-12.723764067717534
2.8999999999999177e-05,-13.529011520066726
2.9e-05,-13.52901152006738
2.9999999999999144e-05,-14.309668523950132
2.9999999999999997e-05,-14.309668523950785
3.099999999999912e-05,-15.0593022951733
3.1000000000000001e-05,-15.059302295173945
3.1999999999999091e-05,-15.771577011848777
3.1999999999999999e-05,-15.771577011849404
3.2999999999999061e-05,-16.44052982008208
3.2999999999999996e-05,-16.440529820082684
3.3999999999999031e-05,-17.061675895508081
3.4e-05,-17.06167589550866
3.4999999999999001e-05,-17.631703067379597
3.4999999999999997e-05,-17.631703067380137
3.5999999999998978e-05,-18.148268090133044
3.6000000000000001e-05,-18.148268090133545
3.6999999999998948e-05,-18.609900220339618
3.6999999999999998e-05,-18.609900220340073
3.7999999999998918e-05,-19.015630159218464
3.7999999999999995e-05,-19.015630159218873
3.8999999999998888e-05,-19.365084324705002
3.8999999999999999e-05,-19.365084324705361
3.9999999999998858e-05,-19.658544027757642
3.9999999999999996e-05,-19.658544027757944
4.0999999999998835e-05,-19.896757716279062
4.1e-05,-19.896757716279307
4.1999999999998805e-05,-20.080198196286371
4.1999999999999998e-05,-20.080198196286556
4.2999999999998775e-05,-20.209263212059977
4.2999999999999995e-05,-20.209263212060101
4.3999999999998745e-05,-20.284406608349517
4.3999999999999999e-05,-20.284406608349578
4.4999999999998715e-05,-20.306137107701971
4.4999999999999996e-05,-20.306137107701964
4.5999999999998692e-05,-20.275017511290478
4.6e-05,-20.275017511290404
4.6999999999998662e-05,-20.191663846778358
4.6999999999999997e-05,-20.191663846778212
4.7999999999998639e-05,-20.056743998455637
4.8000000000000001e-05,-20.056743998455417
4.8999999999998603e-05,-19.87097627208718
4.8999999999999998e-05,-19.870976272086885
4.9999999999998573e-05,-19.635128432765566
4.9999999999999996e-05,-19.635128432765196
5.0999999999998549e-05,-19.350016695991133
5.1e-05,-19.350016695990686
5.199999999999852e-05,-19.016504164956416
5.1999999999999997e-05,-19.016504164955887
5.2999999999998496e-05,-18.635499209521303
5.3000000000000001e-05,-18.635499209520695
5.3999999999998467e-05,-18.207954368202987
5.3999999999999998e-05,-18.207954368202298
5.499999999999843e-05,-17.734865210061233
5.4999999999999995e-05,-17.734865210060459
5.5999999999998407e-05,-17.217268607166243
5.5999999999999999e-05,-17.217268607165384
5.6999999999998377e-05,-16.656060047176179
5.6999999999999996e-05,-16.656060047175234
5.7999999999998354e-05,-16.051256699877598
5.8e-05,-16.051256699876564
5.8999999999998324e-05,-15.402204434047579
5.8999999999999998e-05,-15.402204434046455
5.9999999999998287e-05,-14.707715826055075
5.9999999999999995e-05,-14.70771582605385
6.0999999999998264e-05,-13.965986991860891
6.0999999999999999e-05,-13.965986991859562
6.1999999999998241e-05,-13.174241515170696
6.2000000000000003e-05,-13.174241515169255
6.2999999999998211e-05,-12.328841146002183
6.3e-05,-12.32884114600062
6.3999999999998181e-05,-11.425362559694753
6.3999999999999997e-05,-11.425362559693056
6.4999999999998151e-05,-10.458879744127554
6.4999999999999994e-05,-10.458879744125712
6.5999999999998121e-05,-9.4250766647371744
6.5999999999999992e-05,-9.425076664735176
6.6999999999998091e-05,-8.3199503506182051
6.7000000000000002e-05,-8.319950350616022
6.7999999999998061e-05,-7.1396161309144297
6.7999999999999999e-05,-7.1396161309120671
6.8999999999998032e-05,-5.8803103660161957
6.8999999999999997e-05,-5.8803103660136413
6.9999999999998002e-05,-4.538393753243982
6.9999999999999994e-05,-4.5383937532412242
7.0999999999997972e-05,-3.1103544665499321
7.0999999999999991e-05,-3.1103544665469589
7.1999999999997955e-05,-1.5928104079815044
7.2000000000000002e-05,-1.592810407978305
7.2999999999997925e-05,0.017488722114239907
7.2999999999999999e-05,0.017488722117677352
7.3999999999997896e-05,1.7236587431943247
7.3999999999999996e-05,1.7236587431980115
7.4999999999997866e-05,3.5286784840933829
7.4999999999999993e-05,3.5286784840973309
7.5999999999997836e-05,5.435388207958427
7.5999999999999991e-05,5.4353882079626468
7.6999999999997819e-05,7.4456026102760573
7.7000000000000001e-05,7.445602610280555
7.7999999999997776e-05,9.5565071328902
7.7999999999999999e-05,9.5565071328949998
7.8999999999997746e-05,11.761675575784476
7.8999999999999996e-05,11.761675575789537
7.9999999999997716e-05,14.051753927542428
7.9999999999999993e-05,14.051753927547731
8.0999999999997686e-05,16.415412854432148
8.099999999999999e-05,16.415412854437673
8.199999999999767e-05,18.843103778055667
8.2000000000000001e-05,18.843103778061394
8.299999999999764e-05,21.326050748768719
8.2999999999999998e-05,21.32605074877463
8.399999999999761e-05,23.855591100908146
8.3999999999999995e-05,23.855591100914229
8.499999999999758e-05,26.423562643573945
8.4999999999999993e-05,26.42356264358018
8.599999999999755e-05,29.023850738294563
8.599999999999999e-05,29.023850738300943
8.6999999999997534e-05,31.651959831931734
8.7000000000000001e-05,31.65195983193825
8.799999999999749e-05,34.304728768898926
8.7999999999999998e-05,34.304728768905605
8.8999999999997461e-05,36.97991514437107
8.8999999999999995e-05,36.979915144377877
8.9999999999997431e-05,39.674530713625373
8.9999999999999992e-05,39.674530713632301
9.0999999999997401e-05,42.38529661178336
9.0999999999999989e-05,42.385296611790395
9.1999999999997384e-05,45.108944576625056
9.2e-05,45.108944576632197
9.2999999999997355e-05,47.842220843258495
9.2999999999999997e-05,47.842220843265729
9.3999999999997325e-05,50.581889003197901
9.3999999999999994e-05,50.58188900320522
9.4999999999997295e-05,53.324732824052468
9.4999999999999992e-05,53.324732824059865
9.5999999999997278e-05,56.06756000172237
9.6000000000000002e-05,56.067560001729838
9.6999999999997248e-05,58.807205876274431
9.7e-05,58.807205876281962
9.7999999999997205e-05,61.540536056894773
9.7999999999999997e-05,61.54053605690239
9.8999999999997175e-05,64.26444899593227
9.8999999999999994e-05,64.264448995939929
9.9999999999997145e-05,66.975879526689624
9.9999999999999991e-05,66.975879526697327
0.00010099999999999713,69.671802353489184
0.000101,69.671802353496901
0.0001019999999999971,72.349234397001354
0.000102,72.349234397009084
0.00010299999999999707,75.005237078583008
0.000103,75.005237078590753
0.00010399999999999704,77.636919600963452
0.00010399999999999999,77.636919600971183
0.00010499999999999701,80.241442171439346
0.00010499999999999999,80.241442171447062
0.00010599999999999699,82.816018027902473
0.000106,82.816018027910175
0.00010699999999999696,85.357915395362241
0.000107,85.357915395369901
0.00010799999999999693,87.864460473161159
0.000108,87.864460473168776
0.00010899999999999689,90.332644971612694
0.00010899999999999999,90.332644971620283
0.00010999999999999686,92.75751981755397
0.00010999999999999999,92.757519817561487
0.00011099999999999684,95.132651902425479
0.000111,95.132651902432897
0.00011199999999999681,97.45043244164691
0.000112,97.450432441654186
0.00011299999999999678,99.702607832501499
0.000113,99.702607832508619
0.00011399999999999675,101.8823761936283
0.00011399999999999999,101.88237619363524
0.00011499999999999672,103.98382080754743
0.00011499999999999999,103.98382080755417
0.00011599999999999671,106.00153875093685
0.000116,106.00153875094335
0.00011699999999999668,107.93125859834986
0.000117,107.93125859835611
0.00011799999999999665,109.77234610858461
0.000118,109.77234610859063
0.0001189999999999966,111.52709403504265
0.00011899999999999999,111.52709403504845
0.00011999999999999657,113.20024555191556
0.00011999999999999999,113.20024555192114
0.00012099999999999656,114.79823460941466
0.000121,114.79823460942004
0.00012199999999999653,116.32617963354345
0.000122,116.32617963354863
0.00012299999999999648,117.78869131266021
0.00012299999999999998,117.78869131266521
0.00012399999999999648,119.19040298505273
0.00012400000000000001,119.19040298505756
0.00012499999999999645,120.53596614812848
0.000125,120.53596614813317
0.00012599999999999642,121.83004466032953
0.000126,121.83004466033408
0.00012699999999999639,123.07730898789455
0.000127,123.07730898789897
0.00012799999999999636,124.28243181564305
0.00012799999999999999,124.28243181564736
0.00012899999999999633,125.45008371774026
0.00012899999999999999,125.45008371774446
0.0001299999999999963,126.58492749867952
0.00012999999999999999,126.58492749868365
0.00013099999999999627,127.69161259961048
0.00013099999999999999,127.69161259961454
0.00013199999999999624,128.77477093111511
0.00013199999999999998,128.77477093111912
0.00013299999999999624,129.83873140236943
0.00013300000000000001,129.83873140237341
0.00013399999999999618,130.88637013923895
0.000134,130.88637013924293
0.00013499999999999615,131.919429043073
0.000135,131.91942904307695
0.00013599999999999612,132.93872947421102
0.000136,132.93872947421494
0.00013699999999999609,133.94429266213217
0.000137,133.94429266213606
0.00013799999999999606,134.93580177593574
0.00013799999999999999,134.93580177593961
0.00013899999999999603,135.91248263121639
0.00013899999999999999,135.91248263122023
0.000139999999999996,136.87302889855033
0.00013999999999999999,136.87302889855411
0.00014099999999999597,137.81577925164237
0.00014099999999999998,137.81577925164612
0.00014199999999999594,138.73941424822567
0.00014199999999999998,138.73941424822937
0.00014299999999999594,139.64276772191116
0.00014300000000000001,139.64276772191479
0.00014399999999999591,140.52470433232895
0.000144,140.5247043323325
0.00014499999999999588,141.38412127533701
0.000145,141.3841212753405
0.00014599999999999585,142.21994840118558
0.000146,142.21994840118899
0.00014699999999999582,143.03114830404158
0.000147,143.0311483040449
0.00014799999999999579,143.81671790816588
0.00014799999999999999,143.81671790816912
0.00014899999999999576,144.57569002667168
0.00014899999999999999,144.57569002667483
0.00014999999999999573,145.30713328329296
0.00014999999999999999,145.307133283296
0.0001509999999999957,146.01015200409321
0.00015099999999999998,146.01015200409617
0.00015199999999999567,146.68388764687506
0.00015199999999999998,146.68388764687791
0.00015299999999999567,147.32752020170864
0.00015300000000000001,147.32752020171137
0.00015399999999999564,147.94026791019104
0.000154,147.94026791019365
0.00015499999999999558,148.52138695404639
0.000155,148.52138695404889
0.00015599999999999555,149.07017272344504
0.000156,149.0701727234474
0.00015699999999999552,149.58613085126234
0.00015699999999999999,149.58613085126458
0.00015799999999999549,150.06966725912721
