time,I_L2
5.5600000000e-04,5.1213210081e+01
5.6000000000e-04,4.9902097351e+01
5.6400000000e-04,4.8656079188e+01
5.6800000000e-04,4.7671092023e+01
5.7200000000e-04,4.7272351146e+01
5.7600000000e-04,4.7755256062e+01
5.8000000000e-04,4.9341295916e+01
5.8400000000e-04,5.1913726055e+01
5.8800000000e-04,5.4953577717e+01
5.9200000000e-04,5.8119635413e+01
5.9600000000e-04,6.1302428342e+01
6.0000000000e-04,6.4385142766e+01
6.0400000000e-04,6.7256586328e+01
6.0800000000e-04,6.9812866099e+01
6.1200000000e-04,7.1958884412e+01
6.1600000000e-04,7.3489184023e+01
6.2000000000e-04,7.3983023356e+01
6.2400000000e-04,7.3306856240e+01
6.2800000000e-04,7.1844396456e+01
6.3200000000e-04,6.9955019263e+01
6.3600000000e-04,6.7991196174e+01
6.4000000000e-04,6.6208831643e+01
6.4400000000e-04,6.4646805828e+01
6.4800000000e-04,6.3251436805e+01
6.5200000000e-04,6.1972511407e+01
6.5600000000e-04,6.0759458896e+01
6.6000000000e-04,5.9562217112e+01
6.6400000000e-04,5.8384354485e+01
6.6800000000e-04,5.7406997210e+01
6.7200000000e-04,5.6947597717e+01
6.7600000000e-04,5.7295002235e+01
6.8000000000e-04,5.8712352141e+01
6.8400000000e-04,6.1161047180e+01
6.8800000000e-04,6.4111149960e+01
6.9200000000e-04,6.7216697160e+01
6.9600000000e-04,7.0357711243e+01
7.0000000000e-04,7.3407213171e+01
7.0400000000e-04,7.6244095020e+01
7.0800000000e-04,7.8754956368e+01
7.1200000000e-04,8.0835745997e+01
7.1600000000e-04,8.2276043935e+01
7.2000000000e-04,8.2699209808e+01
7.2400000000e-04,8.2044891814e+01
7.2800000000e-04,8.0679786249e+01
7.3200000000e-04,7.8948552808e+01
7.3600000000e-04,7.7188525320e+01
7.4000000000e-04,7.5636965001e+01
7.4400000000e-04,7.4311700523e+01
7.4800000000e-04,7.3144944702e+01
7.5200000000e-04,7.2072761950e+01
7.5600000000e-04,7.1031747493e+01
7.6000000000e-04,6.9960078593e+01
7.6400000000e-04,6.8847491510e+01
7.6800000000e-04,6.7860174332e+01
7.7200000000e-04,6.7308740947e+01
7.7600000000e-04,6.7476572029e+01
7.8000000000e-04,6.8623599554e+01
7.8400000000e-04,7.0755924077e+01
7.8800000000e-04,7.3426459379e+01
7.9200000000e-04,7.6284445235e+01
7.9600000000e-04,7.9202489517e+01
8.0000000000e-04,8.2046369111e+01
8.0400000000e-04,8.4687730896e+01
8.0800000000e-04,8.7006050267e+01
8.1200000000e-04,8.8890388625e+01
8.1600000000e-04,9.0127506893e+01
8.2000000000e-04,9.0387134906e+01
8.2400000000e-04,8.9682753135e+01
8.2800000000e-04,8.8363574454e+01
8.3200000000e-04,8.6759809315e+01
8.3600000000e-04,8.5193512917e+01
8.4000000000e-04,8.3882401493e+01
8.4400000000e-04,8.2821715142e+01
8.4800000000e-04,8.1928565381e+01
8.5200000000e-04,8.1124007264e+01
8.5600000000e-04,8.0330292526e+01
8.6000000000e-04,7.9472139149e+01
8.6400000000e-04,7.8523180334e+01
8.6800000000e-04,7.7631964877e+01
8.7200000000e-04,7.7100325442e+01
8.7600000000e-04,7.7204169345e+01
8.8000000000e-04,7.8197667054e+01
8.8400000000e-04,8.0128866069e+01
8.8800000000e-04,8.2632501639e+01
8.9200000000e-04,8.5352030675e+01
8.9600000000e-04,8.8150976982e+01
9.0000000000e-04,9.0886387472e+01
9.0400000000e-04,9.3421343696e+01
9.0800000000e-04,9.5627058916e+01
9.1200000000e-04,9.7384764167e+01
9.1600000000e-04,9.8478076891e+01
9.2000000000e-04,9.8622865466e+01
9.2400000000e-04,9.7905271333e+01
9.2800000000e-04,9.6656939407e+01
9.3200000000e-04,9.5193713533e+01
9.3600000000e-04,9.3822649945e+01
9.4000000000e-04,9.2741970339e+01
9.4400000000e-04,9.1924237399e+01
9.4800000000e-04,9.1272357790e+01
9.5200000000e-04,9.0693386739e+01
9.5600000000e-04,9.0096370170e+01
9.6000000000e-04,8.9393808930e+01
9.6400000000e-04,8.8544140519e+01
9.6800000000e-04,8.7678926231e+01
9.7200000000e-04,8.7092729901e+01
9.7600000000e-04,8.7055480278e+01
9.8000000000e-04,8.7817075011e+01
9.8400000000e-04,8.9468539394e+01
9.8800000000e-04,9.1727501648e+01
9.9200000000e-04,9.4233796948e+01
9.9600000000e-04,9.6843076126e+01
1.0000000000e-03,9.9404789744e+01
1.0040000000e-03,1.0177445770e+02
1.0080000000e-03,1.0381589250e+02
1.0120000000e-03,1.0540320438e+02
1.0160000000e-03,1.0631782895e+02
1.0200000000e-03,1.0632240809e+02
1.0240000000e-03,1.0557504022e+02
1.0280000000e-03,1.0438990509e+02
1.0320000000e-03,1.0306838781e+02
1.0360000000e-03,1.0190230809e+02
1.0400000000e-03,1.0106960868e+02
1.0440000000e-03,1.0051895805e+02
1.0480000000e-03,1.0013855166e+02
1.0520000000e-03,9.9820818286e+01
1.0560000000e-03,9.9460901650e+01
1.0600000000e-03,9.8958333532e+01
1.0640000000e-03,9.8255152364e+01
1.0680000000e-03,9.7464395239e+01
1.0720000000e-03,9.6872631942e+01
1.0760000000e-03,9.6743068287e+01
1.0800000000e-03,9.7320614542e+01
1.0840000000e-03,9.8738128253e+01
1.0880000000e-03,1.0079509325e+02
1.0920000000e-03,1.0312799795e+02
1.0960000000e-03,1.0558411370e+02
1.1000000000e-03,1.0800489812e+02
1.1040000000e-03,1.1023798989e+02
1.1080000000e-03,1.1213956090e+02
1.1120000000e-03,1.1357644165e+02
1.1160000000e-03,1.1432821376e+02
1.1200000000e-03,1.1420448731e+02
1.1240000000e-03,1.1343438864e+02
